user_id,Attrition
442,1
1091,0
981,0
785,1
1332,1
501,1
1058,1
1253,0
751,0
122,1
268,1
940,0
1125,1
540,1
1034,0
432,0
794,1
666,0
942,0
1114,0
853,1
1330,0
692,0
548,0
54,1
319,1
1147,0
1235,0
1436,1
520,1
983,0
1347,0
465,1
966,1
31,1
420,0
1462,0
1408,0
89,1
298,1
875,0
1385,1
1430,1
223,1
1412,0
1375,1
4,0
1174,0
892,1
34,1
1310,0
182,1
467,1
52,1
1032,1
142,0
1440,0
528,0
629,0
1051,1
1269,0
993,0
526,0
278,0
887,1
1275,0
667,1
792,0
148,0
1039,0
1414,1
474,0
1341,0
1158,0
393,0
965,0
1397,0
743,0
980,1
1410,0
916,0
1300,0
642,0
1064,0
1318,0
1247,1
187,0
1023,0
1183,0
1073,1
1311,1
9,0
1019,0
1180,0
1405,0
1120,0
483,0
310,1
722,0
5,0
482,0
204,0
1086,0
376,0
740,0
299,0
1218,1
546,1
1434,1
1400,0
302,0
1096,1
360,0
1131,0
191,0
315,0
211,1
215,0
279,0
1179,0
141,0
1227,0
641,0
14,1
82,1
1301,0
787,0
583,0
333,1
610,0
390,0
1083,1
2,0
554,0
85,1
995,1
107,1
930,0
1306,1
1308,0
489,0
361,0
1090,1
80,1
152,0
1452,0
1093,0
231,0
693,0
96,0
224,1
948,0
1015,0
913,1
445,0
1,0
425,0
159,0
1210,0
227,1
838,1
1416,0
161,0
656,1
308,0
253,1
1084,1
113,0
1292,0
898,1
295,0
608,0
175,0
970,1
45,0
487,1
1358,0
55,1
657,0
1126,0
254,0
491,0
867,0
1396,0
587,0
863,0
536,0
619,0
192,1
1411,0
1460,0
1273,1
1425,0
574,0
108,0
651,0
567,0
728,0
842,1
426,0
260,0
580,0
1021,0
1173,1
572,0
679,1
1349,1
233,0
303,0
506,1
364,0
1100,0
27,0
1056,0
317,0
471,0
907,0
202,1
1129,0
1069,1
1263,0
381,1
1137,1
914,0
634,1
184,0
431,1
1413,0
1438,1
1361,0
326,0
19,1
726,0
330,1
353,0
1074,1
1360,0
412,0
1149,0
649,0
1279,0
638,0
18,0
500,0
1099,1
1075,1
53,0
632,1
874,0
342,1
47,1
459,1
748,0
609,0
989,1
1038,0
473,0
711,1
717,0
140,0
1123,1
39,0
1368,1
1026,1
322,0
742,1
935,0
479,0
1236,1
1079,1
461,0
58,0
241,0
1103,0
783,0
1399,1
56,1
665,1
575,0
505,0
443,0
1283,0
516,0
29,0
270,1
924,1
1288,0
985,0
1327,0
1439,1
481,0
124,1
198,0
1229,1
