user_id,Attrition
442,1
1091,0
981,1
785,0
1332,1
501,0
1058,1
1253,0
751,0
122,1
268,0
940,1
1125,0
540,1
1034,0
432,0
794,1
666,0
942,0
1114,0
853,1
1330,0
692,0
548,0
54,1
319,1
1147,0
1235,0
1436,1
520,1
983,1
1347,0
465,1
966,1
31,1
420,0
1462,1
1408,0
89,0
298,0
875,1
1385,0
1430,0
223,1
1412,1
1375,1
4,1
1174,1
892,1
34,0
1310,1
182,0
467,1
52,1
1032,1
142,0
1440,1
528,1
629,1
1051,0
1269,0
993,1
526,0
278,0
887,1
1275,1
667,1
792,0
148,0
1039,0
1414,0
474,1
1341,1
1158,1
393,0
965,1
1397,0
743,0
980,1
1410,1
916,0
1300,0
642,1
1064,0
1318,1
1247,0
187,0
1023,0
1183,0
1073,0
1311,1
9,0
1019,0
1180,1
1405,0
1120,1
483,0
310,1
722,0
5,0
482,0
204,0
1086,1
376,0
740,1
299,0
1218,0
546,1
1434,0
1400,1
302,0
1096,0
360,0
1131,1
191,0
315,1
211,0
215,0
279,0
1179,0
141,0
1227,1
641,1
14,1
82,0
1301,0
787,0
583,0
333,1
610,0
390,0
1083,1
2,1
554,1
85,1
995,0
107,1
930,1
1306,1
1308,0
489,0
361,0
1090,0
80,0
152,1
1452,0
1093,0
231,0
693,1
96,0
224,0
948,0
1015,1
913,0
445,0
1,0
425,0
159,0
1210,0
227,0
838,0
1416,0
161,0
656,1
308,0
253,1
1084,1
113,0
1292,0
898,0
295,0
608,1
175,0
970,0
45,0
487,0
1358,1
55,0
657,1
1126,1
254,0
491,0
867,0
1396,1
587,0
863,0
536,1
619,0
192,1
1411,1
1460,1
1273,1
1425,0
574,0
108,0
651,0
567,0
728,0
842,1
426,1
260,0
580,0
1021,1
1173,1
572,1
679,0
1349,0
233,0
303,0
506,0
364,0
1100,0
27,0
1056,0
317,1
471,0
907,0
202,0
1129,0
1069,0
1263,1
381,0
1137,1
914,0
634,1
184,0
431,0
1413,0
1438,0
1361,1
326,0
19,1
726,1
330,0
353,1
1074,1
1360,1
412,0
1149,0
649,0
1279,1
638,1
18,0
500,0
1099,1
1075,1
53,0
632,0
874,0
342,0
47,1
459,0
748,1
609,0
989,0
1038,1
473,0
711,1
717,1
140,1
1123,0
39,0
1368,1
1026,1
322,0
742,1
935,0
479,1
1236,1
1079,0
461,0
58,0
241,0
1103,0
783,0
1399,1
56,1
665,1
575,0
505,0
443,0
1283,1
516,1
29,1
270,1
924,1
1288,0
985,1
1327,0
1439,0
481,1
124,1
198,0
1229,0
